ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:      64       167.0120       145.9600         0.0000         0.0000          -5778.8101       933.9394         0.0000         0.0000         0.0000          -4531.8987         0.0000     -4531.8987     -4531.8987         0.0000           7865.5546     -4708.0137     23823.1240      7865.5546     -4708.0137
ENERGY:      65       165.6980       141.1035         0.0000         0.0000          -5777.3507       917.3820         0.0000         0.0000         0.0000          -4553.1672         0.0000     -4553.1672     -4553.1672         0.0000           7894.3395     -4931.1535     23823.1240      7894.3395     -4931.1535
ENERGY:      66       195.3359       140.0465         0.0000         0.0000          -5775.9743       906.6035         0.0000         0.0000         0.0000          -4533.9885         0.0000     -4533.9885     -4533.9885         0.0000           7909.4327     -5080.2795     23823.1240      7909.4327     -5080.2795
ENERGY:      67       167.2462       140.8392         0.0000         0.0000          -5777.2110       916.0745         0.0000         0.0000         0.0000          -4553.0511         0.0000     -4553.0511     -4553.0511         0.0000           7896.8384     -4949.0244     23823.1240      7896.8384     -4949.0244
ENERGY:      68       165.9992       141.0446         0.0000         0.0000          -5777.3210       917.1011         0.0000         0.0000         0.0000          -4553.1762         0.0000     -4553.1762     -4553.1762         0.0000           7894.8824     -4934.9871     23823.1240      7894.8824     -4934.9871
ENERGY:      69       147.1578       138.3795         0.0000         0.0000          -5793.2648       901.8227         0.0000         0.0000         0.0000          -4605.9048         0.0000     -4605.9048     -4605.9048         0.0000           7694.9520     -5247.1335     23823.1240      7694.9520     -5247.1335
ENERGY:      70       158.0463       140.0570         0.0000         0.0000          -5809.3475       888.2660         0.0000         0.0000         0.0000          -4622.9783         0.0000     -4622.9783     -4622.9783         0.0000           7419.1245     -5532.4600     23823.1240      7419.1245     -5532.4600
ENERGY:      71       198.6192       146.0622         0.0000         0.0000          -5825.5290       876.3239         0.0000         0.0000         0.0000          -4604.5237         0.0000     -4604.5237     -4604.5237         0.0000           7066.1281     -5793.9568     23823.1240      7066.1281     -5793.9568
ENERGY:      72       155.6209       139.6936         0.0000         0.0000          -5807.7336       889.5478         0.0000         0.0000         0.0000          -4622.8713         0.0000     -4622.8713     -4622.8713         0.0000           7450.1747     -5505.0275     23823.1240      7450.1747     -5505.0275
ENERGY:      73       157.5393       139.9811         0.0000         0.0000          -5809.0261       888.5201         0.0000         0.0000         0.0000          -4622.9855         0.0000     -4622.9855     -4622.9855         0.0000           7425.3679     -5527.0181     23823.1240      7425.3679     -5527.0181
ENERGY:      74       151.2024       144.8600         0.0000         0.0000          -5830.1606       866.6884         0.0000         0.0000         0.0000          -4667.4098         0.0000     -4667.4098     -4667.4098         0.0000           6977.8801     -5951.3700     23823.1240      6977.8801     -5951.3700
ENERGY:      75       157.3358       153.2888         0.0000         0.0000          -5851.5431       853.0603         0.0000         0.0000         0.0000          -4687.8582         0.0000     -4687.8582     -4687.8582         0.0000           6553.0998     -6269.1014     23823.1240      6553.0998     -6269.1014
ENERGY:      76       176.1801       165.0539         0.0000         0.0000          -5873.1642       844.4688         0.0000         0.0000         0.0000          -4687.4613         0.0000     -4687.4613     -4687.4613         0.0000           6112.8168     -6520.5310     23823.1240      6112.8168     -6520.5310
ENERGY:      77       164.7837       158.5413         0.0000         0.0000          -5861.9038       848.3935         0.0000         0.0000         0.0000          -4690.1852         0.0000     -4690.1852     -4690.1852         0.0000           6344.5785     -6397.0450     23823.1240      6344.5785     -6397.0450
ENERGY:      78       150.7457       158.9155         0.0000         0.0000          -5880.3280       831.3920         0.0000         0.0000         0.0000          -4739.2749         0.0000     -4739.2749     -4739.2749         0.0000           6326.4469     -6783.9471     23823.1240      6326.4469     -6783.9471
