# step Etot Epot T p 
282 -5948.9631 -5948.9631 0.0 -1784.9822 
283 -5948.9328 -5948.9328 0.0 -1785.982 
284 -5948.9628 -5948.9628 0.0 -1785.0474 
285 -5949.2514 -5949.2514 0.0 -706.8447 
286 -5899.9776 -5899.9776 0.0 103.2825 
287 -5955.3403 -5955.3403 0.0 -1205.5226 
288 -5955.2785 -5955.2785 0.0 -1260.311 
289 -5955.3401 -5955.3401 0.0 -1210.9749 
290 -5955.3403 -5955.3403 0.0 -1206.9294 
291 -5961.0462 -5961.0462 0.0 -2575.9198 
292 -5916.6715 -5916.6715 0.0 -4310.8665 
293 -5964.4938 -5964.4938 0.0 -2009.6791 
294 -5964.4686 -5964.4686 0.0 -2063.9023 
295 -5964.4945 -5964.4945 0.0 -2016.8517 
296 -5970.9359 -5970.9359 0.0 -1388.094 
297 -5925.265 -5925.265 0.0 -1095.7476 
298 -5974.6427 -5974.6427 0.0 -1585.0099 
299 -5974.5433 -5974.5433 0.0 -1622.234 
300 -5974.6422 -5974.6422 0.0 -1588.6793 
301 -5974.6428 -5974.6428 0.0 -1585.6727 
302 -5969.3961 -5969.3961 0.0 -819.8472 
303 -5981.7987 -5981.7987 0.0 -1205.6645 
304 -5984.4655 -5984.4655 0.0 -2682.537 
305 -5927.7559 -5927.7559 0.0 -4551.8816 
306 -5990.3271 -5990.3271 0.0 -1963.5563 
307 -5990.2764 -5990.2764 0.0 -2031.7965 
308 -5990.3268 -5990.3268 0.0 -1970.3328 
309 -5990.3275 -5990.3275 0.0 -1966.1069 
310 -5990.3275 -5990.3275 0.0 -1966.7208 
311 -5990.3276 -5990.3276 0.0 -1967.0857 
312 -5990.3276 -5990.3276 0.0 -1967.4108 
313 -5990.3276 -5990.3276 0.0 -1967.0857 
314 -6000.5467 -6000.5467 0.0 -1260.3698 
315 -5968.6816 -5968.6816 0.0 -946.1574 
316 -6001.891 -6001.891 0.0 -1402.6857 
317 -6008.4553 -6008.4553 0.0 -1342.3507 
318 -5966.7608 -5966.7608 0.0 -1683.7366 
319 -6011.5303 -6011.5303 0.0 -1317.5339 
320 -6011.5026 -6011.5026 0.0 -1317.6546 
321 -6011.5306 -6011.5306 0.0 -1317.5275 
322 -6011.5306 -6011.5306 0.0 -1317.5294 
323 -6011.5306 -6011.5306 0.0 -1317.5305 
324 -6011.5306 -6011.5306 0.0 -1317.5294 
325 -6010.242 -6010.242 0.0 -2635.0445 
326 -6018.4023 -6018.4023 0.0 -1897.109 
327 -6018.3291 -6018.3291 0.0 -1965.974 
328 -6018.4017 -6018.4017 0.0 -1903.9333 
329 -6018.4021 -6018.4021 0.0 -1898.9469 
330 -6018.4023 -6018.4023 0.0 -1897.109 
331 -6022.6649 -6022.6649 0.0 -1140.6839 
332 -5982.5326 -5982.5326 0.0 -744.912 
333 -6026.2318 -6026.2318 0.0 -1401.8788 
334 -6034.4537 -6034.4537 0.0 -1792.396 
335 -6009.5768 -6009.5768 0.0 -2508.1251 
336 -6035.4228 -6035.4228 0.0 -1666.0745 
337 -6035.4152 -6035.4152 0.0 -1677.8326 
338 -6035.423 -6035.423 0.0 -1667.244 
339 -6042.7844 -6042.7844 0.0 -2161.6288 
340 -6018.5137 -6018.5137 0.0 -2955.6228 
341 -6043.8351 -6043.8351 0.0 -2002.8487 
342 -6043.8273 -6043.8273 0.0 -2017.8176 
343 -6043.8349 -6043.8349 0.0 -2004.3283 
344 -6051.0343 -6051.0343 0.0 -1211.7145 
345 -6029.4275 -6029.4275 0.0 -699.7284 
346 -6051.8951 -6051.8951 0.0 -1380.9835 
347 -6051.8875 -6051.8875 0.0 -1363.2941 
348 -6051.8947 -6051.8947 0.0 -1379.2001 
349 -6051.8951 -6051.8951 0.0 -1380.8057 
350 -6056.1761 -6056.1761 0.0 -1921.3353 
351 -6027.2079 -6027.2079 0.0 -2732.6885 
352 -6058.3715 -6058.3715 0.0 -1690.2854 
353 -6058.3518 -6058.3518 0.0 -1711.7246 
354 -6058.372 -6058.372 0.0 -1692.423 
355 -6058.372 -6058.372 0.0 -1692.1714 
356 -6058.372 -6058.372 0.0 -1691.9836 
357 -6062.6664 -6062.6664 0.0 -1940.2273 
358 -6036.2422 -6036.2422 0.0 -2443.1759 
359 -6064.5872 -6064.5872 0.0 -1821.8471 
360 -6064.5707 -6064.5707 0.0 -1832.2269 
361 -6064.5873 -6064.5873 0.0 -1822.8693 
362 -6072.8131 -6072.8131 0.0 -1346.8969 
363 -6059.3102 -6059.3102 0.0 -1111.8987 
364 -6072.9489 -6072.9489 0.0 -1388.9564 
365 -6072.9486 -6072.9486 0.0 -1384.6203 
366 -6072.9492 -6072.9492 0.0 -1387.9105 
367 -6072.9492 -6072.9492 0.0 -1388.0275 
368 -6072.9492 -6072.9492 0.0 -1388.121 
369 -6072.9492 -6072.9492 0.0 -1388.0275 
370 -6058.4657 -6058.4657 0.0 -2334.4279 
371 -6075.3946 -6075.3946 0.0 -1639.7241 
372 -6075.2268 -6075.2268 0.0 -1707.1096 
